,x,y
0,0,2210.217391304348
1,1,3550.7804157030814
2,2,5305.7159647404505
3,3,2078.4076159981705
4,4,3026.872234513274
5,5,1861.7464371035505
6,6,2915.0289495450784
7,7,4401.973094170404
8,8,14791.827956989247
9,9,33103.07692307692
10,10,6442.0224719101125
11,11,64890.0
12,12,39871.11111111111
13,13,50251.42857142857
14,14,4709.331306990882
15,15,8955.975609756097
16,16,40064.0
17,18,86825.55555555556
18,19,5390.0
19,20,10367.741935483871
20,21,6900.0
21,22,9200.0
22,23,3600.0
23,24,10442.5
24,25,12100.0
25,28,4002.197802197802
26,30,12726.857142857143
27,31,147225.0
28,32,656.6666666666666
29,33,15000.0
30,35,1500.0
31,38,1500.0
32,39,17600.0
33,40,18000.0
34,42,0.0
35,45,6700.0
36,54,23900.0
37,56,7420.0
38,60,21020.454545454544
39,63,0.0
40,67,0.0
41,70,15300.0
42,77,0.0
43,84,0.0
44,90,36947.36842105263
45,91,0.0
46,95,0.0
47,98,14726.666666666666
48,100,43200.0
49,105,12600.0
