,x,y
0,0,773.0
1,1,3782.016996322433
2,2,6246.111111111111
3,3,2528.586448598131
4,4,7222.1621621621625
5,5,2092.703703703704
6,6,5350.892857142857
7,7,4333.225806451613
8,8,29169.090909090908
9,9,16972.85714285714
10,10,8392.5
11,11,27297.5
12,12,10600.0
13,13,108080.0
14,14,9918.032786885246
15,15,3702.5641025641025
16,16,111392.5
17,17,0.0
18,18,920.0
19,19,126255.0
20,20,72170.0
21,21,602.5
22,22,0.0
23,23,0.0
24,24,6360.0
25,25,0.0
26,27,1450.0
27,28,62.5
28,30,1917.2916666666667
29,38,0.0
30,42,1285.0
31,45,0.0
32,50,0.0
33,52,2900.0
34,56,321.9512195121951
35,60,4404.878048780488
36,63,0.0
37,70,0.0
38,75,0.0
39,90,0.0
40,97,39100.0
41,98,0.0
42,100,42400.0
43,112,0.0
44,168,0.0
