,x,y
0,0,16087.533234859675
1,1,7681.599638301146
2,2,19065.85513078471
3,3,29333.896551724138
4,4,156398.03278688525
5,5,38964.47513812155
6,6,112391.19402985074
7,7,39416.73684210526
8,8,231800.95238095237
9,9,115068.46715328467
10,10,87870.6
11,11,286747.8333333333
12,12,235700.47619047618
13,13,254375.55555555556
14,14,111501.10576923077
15,15,159369.51612903227
16,16,273970.9708737864
17,17,355346.5060240964
18,18,357715.5128205128
19,19,389399.85074626864
20,20,263410.8333333333
21,21,322896.76056338026
22,22,465926.6666666667
23,23,614136.976744186
24,24,653823.0645161291
25,25,710483.25
26,26,843042.7586206896
27,27,643184.3243243244
28,28,163886.26373626373
29,29,743890.8695652174
30,30,290456.25429553265
31,31,720632.2772277228
32,32,808308.085106383
33,33,1032529.375
34,34,997697.5
35,35,1003485.4054054054
36,36,1426865.25
37,37,1188604.2857142857
38,38,1568899.2156862745
39,39,1174476.3333333333
40,40,1111956.7567567567
41,41,1408357.5
42,42,1518968.8235294118
43,43,1374646.6666666667
44,44,1185821.7241379311
45,45,1352121.7948717948
46,46,1508900.0
47,47,1336370.7692307692
48,48,1700764.375
49,49,1586816.8
50,50,1440469.677419355
51,51,1232838.9285714286
52,52,1818792.5
53,53,1742574.5454545454
54,54,1791603.3333333333
55,55,1913880.0
56,56,204168.07692307694
57,57,1420700.0
58,58,1701198.75
59,59,1880233.3333333333
60,60,519844.9253731343
61,61,2232673.3333333335
62,62,678958.3333333334
63,63,1924428.888888889
64,64,1353027.5
65,65,2703170.0
66,66,1762862.0
67,67,742523.3333333334
68,68,2347575.0
69,69,1119848.0
70,70,684800.0
71,71,1739860.0
72,72,2591860.0
73,73,2187600.0
74,74,2557200.0
75,75,1812448.5714285714
76,76,2129810.0
77,78,90170.0
78,80,341540.0
79,88,1210180.0
80,89,1817250.0
81,90,45400.0
82,92,49080.0
83,93,1417220.0
84,94,450820.0
85,96,2251870.0
86,98,1175340.0
87,99,4396760.0
88,105,1309130.0
89,108,1914245.0
90,110,893540.0
91,114,1333030.0
92,119,2183450.0
93,120,2105500.0
94,122,2116860.0
95,123,3826220.0
