,x,y
0,0,16050.749108204518
1,1,6332.862647271992
2,2,9994.672977624785
3,3,16793.745480838756
4,4,37794.51456310679
5,5,26260.1832460733
6,6,69502.81437125748
7,7,37978.58666666667
8,8,90874.5390070922
9,9,76462.45283018867
10,10,101773.72641509434
11,11,123582.88732394367
12,12,133416.57342657342
13,13,156870.37878787878
14,14,185647.14570858283
15,15,201896.64804469273
16,16,179601.86813186813
17,17,175133.78048780488
18,18,206132.75
19,19,189153.75
20,20,201378.5185185185
21,21,211542.42424242425
22,22,213109.5
23,23,294897.85714285716
24,24,223273.75
25,25,219670.0
26,26,240751.57894736843
27,27,283717.5
28,28,150931.84210526315
29,29,329121.1111111111
30,30,132444.52380952382
31,31,471997.5
32,32,298912.22222222225
33,33,317660.0
34,34,198980.0
35,35,295424.0
36,36,359092.5
37,37,393820.0
38,38,400850.0
39,39,993520.0
40,40,164050.0
41,41,345050.0
42,42,614034.0
43,43,272595.0
44,44,283190.0
45,45,193500.0
46,46,862500.0
47,47,507100.0
48,48,811960.0
49,53,0.0
50,56,337500.0
51,60,0.0
52,66,121940.0
53,73,352160.0
